dt,open,high,low,close,volume
2026-02-13,600.429993,606.47998,596.419983,601.919983,69237500
2026-02-17,598.380005,603.950012,593.340027,601.299988,69013800
2026-02-18,602.109985,609.77002,600.719971,605.789978,64250700
2026-02-19,602.809998,605.820007,600.75,603.469971,60960800
2026-02-20,600.119995,610.349976,599.22998,608.809998,74127300
2026-02-23,606.609985,608.01001,599.049988,601.409973,63859100
2026-02-24,602.400024,608.98999,599.72998,607.869995,55023700
2026-02-25,611.070007,616.830017,611.0,616.679993,55710700
2026-02-26,615.590027,615.590027,603.97998,609.23999,96178900
2026-02-27,602.97998,608.320007,602.190002,607.289978,68125200
2026-03-02,598.859985,609.919983,597.98999,608.090027,75264600
2026-03-03,596.330017,603.960022,591.869995,601.580017,97015500
2026-03-04,604.159973,612.880005,603.429993,610.75,70943900
2026-03-05,607.400024,612.76001,602.26001,608.909973,89602400
2026-03-06,600.309998,606.0,598.330017,599.75,86302300
2026-03-09,594.22998,609.27002,591.330017,607.76001,93068200
2026-03-10,607.780029,613.289978,605.419983,607.77002,64078900
2026-03-11,608.950012,612.429993,605.030029,607.690002,60114800
2026-03-12,602.76001,604.140015,597.049988,597.26001,71836600
2026-03-13,599.72998,603.599976,592.570007,593.719971,63145500
2026-03-16,600.039978,603.859985,599.109985,600.380005,49077200
2026-03-17,603.140015,605.900024,601.869995,603.309998,47106600
2026-03-18,601.48999,603.159973,594.559998,594.900024,56128000
2026-03-19,589.51001,595.799988,587.080017,593.02002,75597600
2026-03-20,591.059998,591.169983,578.539978,582.059998,91964700
2026-03-23,590.52002,595.080017,585.960022,588.0,89936100
2026-03-24,584.809998,587.929993,581.929993,583.97998,57750900
2026-03-25,589.140015,591.369995,585.690002,587.820007,60475500
2026-03-26,582.599976,584.630005,573.429993,573.789978,81492100
2026-03-27,570.809998,571.02002,561.570007,562.580017,82702200
2026-03-30,567.380005,568.049988,555.599976,558.280029,70602600
2026-03-31,564.289978,578.640015,564.210022,577.179993,95878000
2026-04-01,581.47998,587.73999,580.419983,584.309998,79435100
2026-04-02,573.969971,586.049988,571.919983,584.97998,50941700
2026-04-06,586.22998,590.609985,584.690002,588.5,35108500
2026-04-07,585.640015,588.97998,578.400024,588.590027,49948200
2026-04-08,608.710022,609.900024,602.119995,606.090027,63086000
2026-04-09,605.929993,610.5,603.030029,610.190002,37837500
2026-04-10,611.840027,613.669983,609.580017,611.070007,34038500
2026-04-13,609.47998,626.73999,608.109985,617.390015,32972100
2026-04-14,620.219971,628.599976,620.099976,628.599976,49921100
2026-04-15,629.080017,637.830017,628.200012,637.400024,50102400
2026-04-16,639.210022,642.179993,635.26001,640.469971,42320600
2026-04-17,645.590027,650.0,644.070007,648.849976,53488900
2026-04-20,648.039978,648.76001,642.52002,646.789978,37138500
2026-04-21,648.409973,650.200012,642.210022,644.330017,39580500
2026-04-22,650.150024,655.330017,648.52002,655.109985,37368400
2026-04-23,653.549988,656.919983,645.52002,651.419983,40099800
2026-04-24,658.51001,664.51001,656.530029,663.880005,45563100
2026-04-27,663.400024,664.429993,660.690002,664.22998,32717000
2026-04-28,657.409973,659.640015,653.809998,657.549988,34147900
2026-04-29,658.630005,661.719971,656.590027,661.570007,31724900
2026-04-30,665.349976,668.900024,657.559998,667.73999,40622200
2026-05-01,669.159973,675.969971,668.799988,674.150024,39172600
2026-05-04,674.659973,676.72998,668.900024,672.880005,34542000
2026-05-05,677.960022,682.77002,677.51001,681.609985,37101100
2026-05-06,687.780029,695.929993,686.47998,695.77002,38778500
2026-05-07,696.580017,701.23999,691.77002,694.940002,43779100
2026-05-08,699.919983,711.22998,699.5,711.22998,44320400
2026-05-11,710.359985,714.590027,708.909973,713.289978,36019100
2026-05-12,708.219971,710.179993,696.640015,707.23999,45873000
2026-05-13,709.960022,716.650024,704.830017,714.710022,40012500
2026-05-14,714.619995,722.030029,714.219971,719.789978,33327500
2026-05-15,710.140015,715.130005,705.549988,708.929993,51792700
2026-05-18,711.539978,712.070007,698.849976,705.880005,49834500
2026-05-19,699.809998,706.48999,695.25,701.530029,46827500
2026-05-20,705.289978,713.150024,703.789978,713.150024,36779200
2026-05-21,708.98999,717.119995,706.77002,714.51001,36415400
2026-05-22,718.070007,722.119995,715.950012,717.539978,33118600
2026-05-26,725.960022,731.169983,724.159973,730.280029,34254700
2026-05-27,732.960022,733.320007,725.440002,729.450012,35148700
2026-05-28,729.72998,736.599976,726.409973,735.599976,32840000
2026-05-29,737.840027,741.630005,735.25,738.309998,37541700
2026-06-01,737.039978,745.650024,735.98999,742.73999,33890600
2026-06-02,742.400024,746.440002,739.22998,746.159973,30085200
2026-06-03,747.309998,748.650024,741.01001,744.210022,40270200
2026-06-04,735.47998,743.5,732.619995,740.609985,40782600
2026-06-05,730.059998,731.690002,704.320007,705.059998,99606600
2026-06-08,717.809998,723.030029,713.070007,716.070007,47401500
2026-06-09,722.97998,725.659973,686.369995,707.830017,91932200
2026-06-10,701.659973,711.280029,692.929993,693.690002,65334300
2026-06-11,699.289978,718.369995,695.0,717.119995,71798900
2026-06-12,717.609985,724.01001,711.280029,721.340027,51168400
2026-06-15,738.099976,744.76001,737.380005,744.0,46710200
2026-06-16,742.25,744.219971,729.640015,729.859985,45348700
2026-06-17,735.190002,735.679993,720.849976,722.51001,51669300
2026-06-18,737.200012,741.820007,732.51001,740.619995,50154600
2026-06-22,742.02002,745.450012,734.390015,737.950012,43518600
2026-06-23,715.73999,723.609985,712.109985,713.650024,53354200
2026-06-24,715.369995,719.929993,704.450012,710.619995,52480400
2026-06-25,725.900024,726.830017,705.299988,716.380005,49668000
2026-06-26,707.130005,715.559998,702.809998,706.52002,47081800
2026-06-29,713.98999,724.580017,705.169983,724.080017,44939100
2026-06-30,724.179993,737.619995,723.909973,736.400024,42121800
